colour_name,finish,product_family,sku_code,title_raw,qty_used_for_checks,stock_result_raw,price_result_raw,product_url,checked_at_iso,finish_attr,thickness,length,width,pack_size
Marmo di Monte,Smooth,Solid Core,53833,Xenolith Marmo di Monte Smooth Solid Core 3660x1830 15mm,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/marmo-di-monte/,2025-08-21T05:37:33Z,Smooth,15,3670,1840,13
Marmo di Torre,Smooth,Solid Core,53832,Xenolith Marmo di Torre Smooth Solid Core 3660x1830 15mm,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/marmo-di-torre/,2025-08-21T05:38:32Z,Smooth,15,3670,1840,13
