colour_name,finish,product_family,sku_code,title_raw,qty_used_for_checks,stock_result_raw,price_result_raw,product_url,checked_at_iso,finish_attr,thickness,length,width
Boston Oak,Woodmatt,Laminate,52537,Laminate Boston Oak Woodmatt Q 0.7mm 1825x680,1,Place order to confirm availability,$58.57*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T04:53:07Z,Woodmatt,0.7,1825,680
Laurel Oak,Woodmatt,Laminate,56832,Laminate Laurel Oak Woodmatt 0.7mm 3650x1360,1,In stock at supply site,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/laurel-oak/,2025-08-21T04:55:02Z,Woodmatt,0.7,3650,1360
Laurel Oak,Woodmatt,Laminate,56833,Laminate Laurel Oak Woodmatt HL 0.7mm 3650x680,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/laurel-oak/,2025-08-21T04:55:05Z,Woodmatt,0.7,3650,680
Laurel Oak,Woodmatt,Laminate,56835,Laminate Laurel Oak Woodmatt Q 0.7mm 1825x680,1,In stock at your branch,$58.57*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/laurel-oak/,2025-08-21T04:55:08Z,Woodmatt,0.7,1825,680
Laurel Oak,Woodmatt,Laminate,56834,Laminate Laurel Oak Woodmatt HS 0.7mm 1825x1360,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/laurel-oak/,2025-08-21T04:55:11Z,Woodmatt,0.7,1825,1360
Botany Oak,Woodmatt,Laminate,56836,Laminate Botany Oak Woodmatt 0.7mm 3650x1360,1,In stock at your branch,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/botany-oak/,2025-08-21T04:55:53Z,Woodmatt,0.7,3650,1360
Botany Oak,Woodmatt,Laminate,56837,Laminate Botany Oak Woodmatt HL 0.7mm 3650x680,1,In stock at your branch,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/botany-oak/,2025-08-21T04:55:56Z,Woodmatt,0.7,3650,680
Botany Oak,Woodmatt,Laminate,56838,Laminate Botany Oak Woodmatt HS 0.7mm 1825x1360,1,In stock at your branch,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/botany-oak/,2025-08-21T04:55:59Z,Woodmatt,0.7,1825,1360
Botany Oak,Woodmatt,Laminate,56839,Laminate Botany Oak Woodmatt Q 0.7mm 1825x680,1,In stock at your branch,$58.57*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/botany-oak/,2025-08-21T04:56:02Z,Woodmatt,0.7,1825,680
Manor Oak,Woodmatt,Laminate,56840,Laminate Manor Oak Woodmatt 0.7mm 3650x1360,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/manor-oak/,2025-08-21T04:56:46Z,Woodmatt,0.7,3650,1360
Manor Oak,Woodmatt,Laminate,56841,Laminate Manor Oak Woodmatt HL 0.7mm 3650x680,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/manor-oak/,2025-08-21T04:59:32Z,Woodmatt,0.7,3650,680
Manor Oak,Woodmatt,Laminate,56842,Laminate Manor Oak Woodmatt HS 0.7mm 1825x1360,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/manor-oak/,2025-08-21T04:59:37Z,Woodmatt,0.7,1825,1360
Manor Oak,Woodmatt,Laminate,56843,Laminate Manor Oak Woodmatt Q 0.7mm 1825x680,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/manor-oak/,2025-08-21T04:59:43Z,Woodmatt,0.7,1825,680
