colour_name,finish,product_family,sku_code,title_raw,qty_used_for_checks,stock_result_raw,price_result_raw,product_url,checked_at_iso,finish_attr,substrate,thickness,length,width,pack_size,minimum_order_qty,order_multiple
Boston Oak,Woodmatt,Board Decorative,56472,MDF 182412 DS Boston Oak Woodmatt MR E0,1,In stock at supply site,$148.54 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T06:42:43Z,Woodmatt,MDF,18,2400,1200,30,1,1
Boston Oak,Woodmatt,Board Decorative,51909,MDF 183618 DS Boston Oak Woodmatt MR E0,1,In stock at supply site,$334.21 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T06:42:44Z,Woodmatt,MDF,18,3600,1800,20,1,1
Boston Oak,Woodmatt,Board Decorative,51916,MDF 322412 DS Boston Oak Woodmatt MR E0,1,Place order to confirm availability,$244.11 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T06:42:44Z,Woodmatt,MDF,32,2400,1200,15,1,1
Boston Oak,Woodmatt,Board Decorative,56912,MDF 183112 DS Boston Oak Woodmatt MR E0,1,Place order to confirm availability,$192.79 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T06:42:45Z,Woodmatt,MDF,18,3115,1200,30,1,1
Boston Oak,Woodmatt,Board Decorative,51915,MDF 252412 DS Boston Oak Woodmatt MR E0,1,In stock at your branch,$221.39 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T06:42:46Z,Woodmatt,MDF,25,2400,1200,20,1,1
Boston Oak,Woodmatt,Board Decorative,51911,LDF 333618 DS Boston Oak Woodmatt MR E0,1,In stock at supply site,$549.26 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T06:42:47Z,Woodmatt,LDF,33,3600,1800,10,1,1
Boston Oak,Woodmatt,Board Decorative,51910,LDF 253618 DS Boston Oak Woodmatt STD E0,1,In stock at supply site,$474.34 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T06:42:48Z,Woodmatt,LDF,25,3600,1800,15,1,1
Boston Oak,Woodmatt,Board Decorative,58066,MDF 092712 DS Boston Oak Woodmatt MR E0,1,In stock at your branch,$151.41 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T06:42:48Z,Woodmatt,MDF,9,2700,1200,30,1,1
Laurel Oak,Woodmatt,Board Decorative,57147,MDF 182412 DS Laurel Oak Woodmatt MR E0,1,In stock at your branch,$148.54 Ea. (Excluding GST),https://www.polytec.com.au/colour/laurel-oak/,2025-08-21T06:43:26Z,Woodmatt,MDF,18,2400,1200,30,1,1
Laurel Oak,Woodmatt,Board Decorative,58472,LDF 253618 DS Laurel Oak Woodmatt STD E0,1,In stock at supply site,$474.34 Ea. (Excluding GST),https://www.polytec.com.au/colour/laurel-oak/,2025-08-21T06:43:26Z,Woodmatt,LDF,25,3600,1800,15,1,1
