colour_name,finish,product_family,sku_code,title_raw,qty_used_for_checks,stock_result_raw,price_result_raw,product_url,checked_at_iso,finish_attr,thickness,length,width,minimum_order_qty,order_multiple
Carcass,Matt,Edgetape Commodity,49304,Rigid 1mm x 21mm UG 200m Carcass Matt,1,In stock at your branch,$56.29 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:48:15Z,Matt,1,200,21,1,1
Carcass,Matt,Edgetape Commodity,49305,Rigid 1mm x 19mm UG 200mtr Carcass Matt,1,In stock at your branch,$53.63 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:48:16Z,Matt,1,200,19,1,1
Carcass,Matt,Edgetape Commodity,51224,Rigid 1mm x 29mm UG 100m Carcass Matt,1,In stock at your branch,$34.64 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:48:18Z,Matt,1,100,29,1,1
Carcass,Texture,Edgetape Commodity,6118,Rigid 1mm x 21mm UG 200mtr CARCASS TXT,1,In stock at your branch,$58.97 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:49:00Z,Texture,1,200,21,1,1
Carcass,Texture,Edgetape Commodity,5724,Rigid 1mm x 19mm UG 200mtr Carcass Texture,1,In stock at your branch,$53.63 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:49:01Z,Texture,1,200,19,1,1
Carcass,Texture,Edgetape Commodity,51225,Rigid 1mm x 29mm UG 100m Carcass Texture,1,In stock at your branch,$34.64 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:49:02Z,Texture,1,100,29,1,1
Carcass,Texture,Edgetape Commodity,6528,Rigid 1mm x 21mm PG 100mtr Carcass Texture,1,In stock at your branch,$37.55 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:49:03Z,Texture,1,100,21,1,1
