colour_name,finish,product_family,sku_code,title_raw,qty_used_for_checks,stock_result_raw,price_result_raw,product_url,checked_at_iso,finish_attr,thickness,length,width,minimum_order_qty,order_multiple
Boston Oak,Woodmatt,Laminate,52536,Laminate Boston Oak Woodmatt HS 0.7mm 1825x1360,1,In stock at your branch,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T06:42:59Z,Woodmatt,0.7,1825,1360,1,1
Boston Oak,Woodmatt,Laminate,52537,Laminate Boston Oak Woodmatt Q 0.7mm 1825x680,1,Place order to confirm availability,$58.57*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T06:43:00Z,Woodmatt,0.7,1825,680,1,1
Laurel Oak,Woodmatt,Laminate,56832,Laminate Laurel Oak Woodmatt 0.7mm 3650x1360,1,In stock at supply site,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/laurel-oak/,2025-08-21T06:43:35Z,Woodmatt,0.7,3650,1360,1,1
Laurel Oak,Woodmatt,Laminate,56833,Laminate Laurel Oak Woodmatt HL 0.7mm 3650x680,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/laurel-oak/,2025-08-21T06:43:36Z,Woodmatt,0.7,3650,680,1,1
Laurel Oak,Woodmatt,Laminate,56835,Laminate Laurel Oak Woodmatt Q 0.7mm 1825x680,1,In stock at your branch,$58.57*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/laurel-oak/,2025-08-21T06:43:38Z,Woodmatt,0.7,1825,680,1,1
Laurel Oak,Woodmatt,Laminate,56834,Laminate Laurel Oak Woodmatt HS 0.7mm 1825x1360,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/laurel-oak/,2025-08-21T06:43:39Z,Woodmatt,0.7,1825,1360,1,1
Botany Oak,Woodmatt,Laminate,56836,Laminate Botany Oak Woodmatt 0.7mm 3650x1360,1,In stock at your branch,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/botany-oak/,2025-08-21T06:43:55Z,Woodmatt,0.7,3650,1360,1,1
Botany Oak,Woodmatt,Laminate,56837,Laminate Botany Oak Woodmatt HL 0.7mm 3650x680,1,In stock at your branch,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/botany-oak/,2025-08-21T06:43:56Z,Woodmatt,0.7,3650,680,1,1
Botany Oak,Woodmatt,Laminate,56838,Laminate Botany Oak Woodmatt HS 0.7mm 1825x1360,1,In stock at your branch,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/botany-oak/,2025-08-21T06:43:57Z,Woodmatt,0.7,1825,1360,1,1
Botany Oak,Woodmatt,Laminate,56839,Laminate Botany Oak Woodmatt Q 0.7mm 1825x680,1,In stock at your branch,$58.57*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/botany-oak/,2025-08-21T06:43:58Z,Woodmatt,0.7,1825,680,1,1
