colour_name,finish,product_family,sku_code,title_raw,qty_used_for_checks,stock_result_raw,price_result_raw,product_url,checked_at_iso,finish_attr,substrate,thickness,length,width,pack_size,minimum_order_qty,order_multiple
White Cement,Smooth,Compact,51879,Compact Laminate White Cement Smooth BC 2730x1830 5mm,1,Place order to confirm availability,$462.82 Ea. (Excluding GST),https://www.polytec.com.au/colour/white-cement/,2025-08-21T06:56:55Z,Smooth,PRC,5,2740,1840,50,1,1
White Cement,Smooth,Compact,50315,Compact Laminate White Cement Smooth BC 3660x1830 13mm,1,In stock at supply site,$1240.16 Ea. (Excluding GST),https://www.polytec.com.au/colour/white-cement/,2025-08-21T06:56:56Z,Smooth,PRC,13,3670,1840,15,1,1
Calacutta D'oro,Smooth,Compact,51874,Compact Laminate Calacutta D'oro Smooth BC 2730x1830 5mm,1,In stock at supply site,$462.82 Ea. (Excluding GST),https://www.polytec.com.au/colour/calacutta-doro/,2025-08-21T06:57:08Z,Smooth,PRC,5,2740,1840,50,1,1
Calacutta D'oro,Smooth,Compact,47645,Compact Laminate Calacutta D'oro Smooth BC 3660x1830 13mm,1,In stock at supply site,$1240.16 Ea. (Excluding GST),https://www.polytec.com.au/colour/calacutta-doro/,2025-08-21T06:57:09Z,Smooth,PRC,13,3670,1840,15,1,1
Calacutta Grey,Smooth,Compact,46487,Compact Laminate Calacutta Grey Smooth BC 3660x1830 13mm,1,In stock at supply site,$1240.16 Ea. (Excluding GST),https://www.polytec.com.au/colour/calacutta-grey/,2025-08-21T06:57:19Z,Smooth,PRC,13,3670,1840,15,1,1
Calacutta Grey,Smooth,Compact,51873,Compact Laminate Calacutta Grey Smooth BC 2730x1830 5mm,1,In stock at supply site,EMPTY,https://www.polytec.com.au/colour/calacutta-grey/,2025-08-21T06:57:21Z,Smooth,PRC,5,2740,1840,50,1,1
Grey Cement,Smooth,Compact,51875,Compact Laminate Grey Cement Smooth BC 2730x1830 5mm,1,In stock at supply site,$462.82 Ea. (Excluding GST),https://www.polytec.com.au/colour/grey-cement/,2025-08-21T06:58:00Z,Smooth,PRC,5,2740,1840,50,1,1
Grey Cement,Smooth,Compact,47646,Compact Laminate Grey Cement Smooth BC 3660x1830 13mm,1,In stock at supply site,$1240.16 Ea. (Excluding GST),https://www.polytec.com.au/colour/grey-cement/,2025-08-21T06:58:00Z,Smooth,PRC,13,3670,1840,15,1,1
Portland Stone,Smooth,Compact,50313,Compact Laminate Portland Stone Smooth BC 3660x1830 13mm,1,In stock at supply site,$1240.16 Ea. (Excluding GST),https://www.polytec.com.au/colour/portland-stone/,2025-08-21T06:58:11Z,Smooth,PRC,13,3670,1840,15,1,1
Portland Stone,Smooth,Compact,51881,Compact Laminate Portland Stone Smooth BC 2730x1830 5mm,1,In stock at supply site,$462.82 Ea. (Excluding GST),https://www.polytec.com.au/colour/portland-stone/,2025-08-21T06:58:12Z,Smooth,PRC,5,2740,1840,50,1,1
