colour_name,finish,product_family,sku_code,title_raw,qty_used_for_checks,stock_result_raw,price_result_raw,product_url,checked_at_iso,finish_attr,minimum_order_qty,order_multiple
Boston Oak,Woodmatt,Architectural Internal Doors,,35mm STD LDF E-Zero,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/boston-oak/,2025-08-21T06:43:19Z,Woodmatt,1,1
Tasmanian Oak,Woodmatt,Architectural Internal Doors,,35mm STD LDF E-Zero,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/tasmanian-oak/,2025-08-21T07:02:05Z,Woodmatt,1,1
Prime Oak,Woodmatt,Architectural Internal Doors,,35mm STD LDF E-Zero,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/prime-oak/,2025-08-21T07:03:03Z,Woodmatt,1,1
Notaio Walnut,Woodmatt,Architectural Internal Doors,,35mm STD LDF E-Zero,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/notaio-walnut/,2025-08-21T07:04:26Z,Woodmatt,1,1
Florentine Walnut,Woodmatt,Architectural Internal Doors,,35mm STD LDF E-Zero,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/florentine-walnut/,2025-08-21T07:05:09Z,Woodmatt,1,1
Empire Oak,Woodmatt,Architectural Internal Doors,,35mm STD LDF E-Zero,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/empire-oak/,2025-08-21T07:06:19Z,Woodmatt,1,1
Empire Oak,Woodmatt,Architectural Internal Doors,,35mm STD LDF E-Zero,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/empire-oak/,2025-08-21T07:06:23Z,Woodmatt,1,1
Bottega Oak,Woodmatt,Architectural Internal Doors,,35mm STD LDF E-Zero,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/bottega-oak/,2025-08-21T07:07:11Z,Woodmatt,1,1
Perugian Walnut,Woodmatt,Architectural Internal Doors,,35mm STD LDF E-Zero,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/perugian-walnut/,2025-08-21T07:07:47Z,Woodmatt,1,1
